GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
TimeGuess,at.qe.timeguess.dto,TopGamesStatisticsDTO,15,21,0,0,6,7,5,2,5,2
TimeGuess,at.qe.timeguess.dto,UpdateUserDTO,13,40,8,2,0,12,5,6,0,6
TimeGuess,at.qe.timeguess.dto,CategoryInfoDTO,12,18,0,0,5,7,4,2,4,2
TimeGuess,at.qe.timeguess.dto,NameDTO,3,9,0,0,2,4,1,2,1,2
TimeGuess,at.qe.timeguess.dto,CategoryStatisticsDTO,12,12,0,0,5,5,4,1,4,1
TimeGuess,at.qe.timeguess.dto,Mapping,21,0,0,0,8,0,4,0,4,0
TimeGuess,at.qe.timeguess.dto,CategoryExpressionAsStringsDTO,0,15,0,0,0,6,0,3,0,3
TimeGuess,at.qe.timeguess.dto,LoginResult,0,15,0,0,0,6,0,3,0,3
TimeGuess,at.qe.timeguess.dto,ExpressionDTO,3,15,0,0,2,6,1,3,1,3
TimeGuess,at.qe.timeguess.dto,UserStatisticsDTO,32,24,0,0,15,9,9,3,9,3
TimeGuess,at.qe.timeguess.dto,CategoryExpressionDTO,6,9,0,0,2,4,2,1,2,1
TimeGuess,at.qe.timeguess.dto,TeamDTO,0,27,0,0,0,10,0,5,0,5
TimeGuess,at.qe.timeguess.dto,CreateUserDTO,0,22,0,0,0,8,0,4,0,4
TimeGuess,at.qe.timeguess.dto,UserDTO,0,23,0,0,0,8,0,4,0,4
TimeGuess,at.qe.timeguess.dto,GlobalStatisticsDTO,3,33,0,0,2,12,1,6,1,6
TimeGuess,at.qe.timeguess.dto,TeamStatisticsDTO,12,12,0,0,5,5,4,1,4,1
TimeGuess,at.qe.timeguess.dto,Login,0,15,0,0,0,6,0,3,0,3
TimeGuess,at.qe.timeguess.dto,CreateGame,4,33,0,0,2,12,1,6,1,6
TimeGuess,at.qe.timeguess.dto,GameStatisticsDTO,27,9,2,0,8,4,5,1,4,1
TimeGuess,at.qe.timeguess.dto,GameDTO,3,33,0,0,2,12,1,6,1,6
TimeGuess,at.qe.timeguess.websockDto,BatteryUpdateDTO,0,9,0,0,0,4,0,2,0,2
TimeGuess,at.qe.timeguess.websockDto,WaitingDataDTO,0,59,0,2,0,15,0,7,0,6
TimeGuess,at.qe.timeguess.websockDto,DiceConnectionUpdateDTO,0,9,0,0,0,4,0,2,0,2
TimeGuess,at.qe.timeguess.websockDto,StateUpdateDTO,0,42,0,0,0,10,0,5,0,5
TimeGuess,at.qe.timeguess.websockDto,TeamResponseDTO,3,9,0,0,2,4,1,2,1,2
TimeGuess,at.qe.timeguess.websockDto,ResponseDTO,3,15,0,0,2,6,1,3,1,3
TimeGuess,at.qe.timeguess.websockDto,FinishedGameDTO,33,0,0,0,12,0,6,0,6,0
TimeGuess,at.qe.timeguess.websockDto,RunningDataDTO,3,69,0,0,2,21,1,10,1,10
TimeGuess,at.qe.timeguess.websockDto,JoinOfflineUserDto,18,0,0,0,8,0,4,0,4,0
TimeGuess,at.qe.timeguess.websockDto,ErrorDTO,12,0,0,0,6,0,3,0,3,0
TimeGuess,at.qe.timeguess.websockDto,DiceInfoDTO,0,15,0,0,0,6,0,3,0,3
TimeGuess,at.qe.timeguess.websockDto,ScoreUpdateDTO,0,15,0,0,0,6,0,3,0,3
TimeGuess,at.qe.timeguess.gamelogic,SetupGamePhase,83,416,12,42,14,73,11,29,0,13
TimeGuess,at.qe.timeguess.gamelogic,IngameDTOFactory,32,214,1,11,4,30,1,12,0,7
TimeGuess,at.qe.timeguess.gamelogic,Game.TeamIndexOutOfBoundsException,3,0,0,0,1,0,1,0,1,0
TimeGuess,at.qe.timeguess.gamelogic,Game.GameCreationException,0,4,0,0,0,2,0,1,0,1
TimeGuess,at.qe.timeguess.gamelogic,Game,94,455,18,34,26,115,20,58,6,46
TimeGuess,at.qe.timeguess.gamelogic,Game.GameAlreadyRunningException,0,3,0,0,0,1,0,1,0,1
TimeGuess,at.qe.timeguess.gamelogic,Team,0,115,0,2,0,35,0,19,0,18
TimeGuess,at.qe.timeguess.gamelogic,Dice,21,171,0,8,9,44,6,14,6,10
TimeGuess,at.qe.timeguess.gamelogic,RunningGamePhase,139,471,22,24,32,87,21,28,4,22
TimeGuess,at.qe.timeguess.gamelogic,Game.HostAlreadyReadyException,0,4,0,0,0,2,0,1,0,1
TimeGuess,at.qe.timeguess.gamelogic,Game.UserStateException,4,0,0,0,2,0,1,0,1,0
TimeGuess,at.qe.timeguess.model,CompletedGameTeam,25,58,0,0,9,19,5,10,5,10
TimeGuess,at.qe.timeguess.model,Expression,11,19,0,0,5,8,3,4,3,4
TimeGuess,at.qe.timeguess.model,Category,4,15,0,0,2,7,1,4,1,4
TimeGuess,at.qe.timeguess.model,CompletedGame,113,43,8,0,29,15,15,7,11,7
TimeGuess,at.qe.timeguess.model,User,2,154,5,21,0,34,5,22,0,14
TimeGuess,at.qe.timeguess.model,UserRole,0,34,0,0,0,4,0,1,0,1
TimeGuess,at.qe.timeguess.model,RaspberryID,7,9,0,0,3,5,2,2,2,2
TimeGuess,at.qe.timeguess.configs,WebSocketConfig.new WebSocketHandlerDecoratorFactory() {...},0,12,0,0,0,2,0,2,0,2
TimeGuess,at.qe.timeguess.configs,JwtRequestFilter,52,3,10,0,13,1,6,1,1,1
TimeGuess,at.qe.timeguess.configs,WebSecurityConfig,34,100,0,0,5,21,1,3,1,3
TimeGuess,at.qe.timeguess.configs,WebSocketConfig,0,48,0,0,0,8,0,4,0,4
TimeGuess,at.qe.timeguess.configs,WebSocketConfig.1.new WebSocketHandlerDecorator() {...},22,7,0,0,6,1,2,1,2,1
TimeGuess,at.qe.timeguess.configs,JwtAuthenticationHandler,4,3,0,0,2,1,1,1,1,1
TimeGuess,at.qe.timeguess.configs,CorsFilter,38,3,2,0,12,1,4,1,3,1
TimeGuess,at.qe.timeguess.mysql,MySQLCustomDialect,5,0,0,0,2,0,2,0,2,0
TimeGuess,at.qe.timeguess.controllers,CategoryController,0,131,0,6,0,31,0,9,0,6
TimeGuess,at.qe.timeguess.controllers,UserController,89,319,21,37,15,70,19,21,2,9
TimeGuess,at.qe.timeguess.controllers,IngameController,313,3,44,0,69,1,29,1,7,1
TimeGuess,at.qe.timeguess.controllers,ExpressionController,0,135,0,6,0,28,0,9,0,6
TimeGuess,at.qe.timeguess.controllers,StatisticsController,0,53,0,0,0,13,0,5,0,5
TimeGuess,at.qe.timeguess.controllers,GameController,173,228,26,20,32,45,20,14,3,8
TimeGuess,at.qe.timeguess.controllers,RaspberryController,77,31,7,3,17,7,7,4,3,3
TimeGuess,at.qe.timeguess.services,ExpressionService.ExpressionAlreadyExistsException,0,7,0,0,0,3,0,1,0,1
TimeGuess,at.qe.timeguess.services,CategoryService,7,79,1,7,0,15,2,11,1,8
TimeGuess,at.qe.timeguess.services,WebSocketService,196,160,18,0,45,21,15,10,6,10
TimeGuess,at.qe.timeguess.services,UserService.EmptyPasswordException,0,7,0,0,0,3,0,1,0,1
TimeGuess,at.qe.timeguess.services,ExpressionService,5,205,1,11,2,43,1,16,0,11
TimeGuess,at.qe.timeguess.services,AuthenticationService,28,183,10,18,14,41,10,14,1,9
TimeGuess,at.qe.timeguess.services,LobbyService,136,124,15,3,28,27,14,7,5,7
TimeGuess,at.qe.timeguess.services,RaspberryService.RaspberryNotFoundException,0,6,0,0,0,1,0,1,0,1
TimeGuess,at.qe.timeguess.services,StatisticsService.UserNotFoundException,0,4,0,0,0,2,0,1,0,1
TimeGuess,at.qe.timeguess.services,LobbyService.GameNotFoundException,6,0,0,0,1,0,1,0,1,0
TimeGuess,at.qe.timeguess.services,RandomCodeService,0,64,0,2,0,13,0,6,0,5
TimeGuess,at.qe.timeguess.services,UserService,6,129,4,14,3,27,4,15,0,9
TimeGuess,at.qe.timeguess.services,ExpressionService.ExpressionDoesNotExistAnymoreException,0,7,0,0,0,3,0,1,0,1
TimeGuess,at.qe.timeguess.services,CategoryService.CategoryAlreadyExistsException,0,4,0,0,0,2,0,1,0,1
TimeGuess,at.qe.timeguess.services,RaspberryService.RaspberryAlreadyInUseException,0,7,0,0,0,3,0,1,0,1
TimeGuess,at.qe.timeguess.services,CategoryService.CategoryIsReferencedInCompletedGamesException,0,4,0,0,0,2,0,1,0,1
TimeGuess,at.qe.timeguess.services,StatisticsService,12,691,4,52,3,141,3,39,0,14
TimeGuess,at.qe.timeguess.services,UserService.UsernameNotAvailableException,0,7,0,0,0,3,0,1,0,1
TimeGuess,at.qe.timeguess.services,RaspberryService,29,123,7,11,6,27,7,11,1,8
TimeGuess,at.qe.timeguess.services,ExpressionService.ExpressionReferencedInGameException,7,0,0,0,3,0,1,0,1,0
TimeGuess,at.qe.timeguess,Main,5,3,0,0,2,1,1,1,1,1
